old,new,ps,pr
Пл.Иер. 3:1-66,Евреям 1:1-14,Пс. 101:1-29,Прит. 26:21-22
Пл.Иер. 4:1-5:22,Евреям 2:1-18,Пс. 102:1-22,Прит. 26:23
Иез. 1:1-3:15,Евреям 3:1-19,Пс. 103:1-23,Прит. 26:24-26
Иез. 3:16-6:14,Евреям 4:1-16,Пс. 103:24-35,Прит. 26:27
Иез. 7:1-9:11,Евреям 5:1-14,Пс. 104:1-15,Прит. 26:28
Иез. 10:1-11:25,Евреям 6:1-20,Пс. 104:16-36,Прит. 27:1-2
Иез. 12:1-14:11,Евреям 7:1-17,Пс. 104:37-45,Прит. 27:3
Иез. 14:12-16:41,Евреям 7:18-28,Пс. 105:1-12,Прит. 27:4-6
Иез. 16:42-17:24,Евреям 8:1-13,Пс. 105:13-31,Прит. 27:7-9
Иез. 18:1-19:14,Евреям 9:1-10,Пс. 105:32-48,Прит. 27:10
Иез. 20:1-49,Евреям 9:11-28,Пс. 106:1-43,Прит. 27:11
Иез. 21:1-22:31,Евреям 10:1-17,Пс. 107:1-13,Прит. 27:12
Иез. 23:1-49,Евреям 10:18-39,Пс. 108:1-31,Прит. 27:13
Иез. 24:1-26:21,Евреям 11:1-16,Пс. 109:1-7,Прит. 27:14
Иез. 27:1-28:26,Евреям 11:17-31,Пс. 110:1-10,Прит. 27:15-16
Иез. 29:1-30:26,Евреям 11:32-12:13,Пс. 111:1-10,Прит. 27:17
Иез. 31:1-32:32,Евреям 12:14-29,Пс. 112:1-113:8,Прит. 27:18-20
Иез. 33:1-34:31,Евреям 13:1-25,Пс. 114:1-18,Прит. 27:21-22
Иез. 35:1-36:38,Иакова 1:1-18,Пс. 115:1-19,Прит. 27:23-27
Иез. 37:1-38:23,Иакова 1:19-2:17,Пс. 116:1-2,Прит. 28:1
Иез. 39:1-40:27,Иакова 2:18-3:18,Пс. 117:1-18,Прит. 28:2
Иез. 40:28-41:26,Иакова 4:1-17,Пс. 117:19-29,Прит. 28:3-5
Иез. 42:1-43:27,Иакова 5:1-20,Пс. 118:1-16,Прит. 28:6-7
Иез. 44:1-45:12,1Петра 1:1-12,Пс. 118:17-32,Прит. 28:8-10
Иез. 45:13-46:24,1Петра 1:13-2:10,Пс. 118:33-48,Прит. 28:11
Иез. 47:1-48:35,1Петра 2:11-3:7,Пс. 118:49-64,Прит. 28:12-13
Дан. 1:1-2:23,1Петра 3:8-4:6,Пс. 118:65-80,Прит. 28:14
Дан. 2:24-3:30,1Петра 4:7-5:14,Пс. 118:81-96,Прит. 28:15-16
Дан. 4:1-37,2Петра 1:1-21,Пс. 118:97-112,Прит. 28:17-18
Дан. 5:1-31,2Петра 2:1-22,Пс. 118:113-128,Прит. 28:19-20
Дан. 6:1-28,2Петра 3:1-18,Пс. 118:129-152,Прит. 28:21-22
Дан. 7:1-28,1Иоанна 1:1-10,Пс. 118:153-176,Прит. 28:23-24
Дан. 8:1-27,1Иоанна 2:1-17,Пс. 119:1-7,Прит. 28:25-26
Дан. 9:1-11:1,1Иоанна 2:18-3:6,Пс. 120:1-8,Прит. 28:27-28
Дан. 11:2-35,1Иоанна 3:7-24,Пс. 121:1-9,Прит. 29:1
Дан. 11:36-12:13,1Иоанна 4:1-21,Пс. 122:1-4,Прит. 29:2-4
Осия 1:1-3:5,1Иоанна 5:1-21,Пс. 123:1-8,Прит. 29:5-8
Осия 4:1-5:15,2Иоанна 1:1-13,Пс. 124:1-5,Прит. 29:9-11
Осия 6:1-9:17,3Иоанна 1:1-15,Пс. 125:1-6,Прит. 29:12-14
Осия 10:1-14:9,Иуды 1:1-25,Пс. 128:1-5,Прит. 29:15-17
Иоиль 1:1-3:21,Откр. 1:1-20,Пс. 127:1-6,Прит. 29:18
Амос 1:1-3:15,Откр. 2:1-17,Пс. 128:1-8,Прит. 29:19-20
Амос 4:1-6:14,Откр. 2:18-3:6,Пс. 129:1-8,Прит. 29:21-22
Aмос 7:1-9:15,Откр. 3:7-22,Пс. 130:1-3,Прит. 29:23
Авдий 1:1-21,Откр. 4:1-11,Пс. 131:1-18,Прит. 29:24-25
Иона 1:1-4:11,Откр. 5:1-14,Пс. 132:1-3,Прит. 29:26-27
Михей 1:1-4:13,Откр. 6:1-17,Пс. 133:1-3,Прит. 30:1-4
Михей 5:1-7:20,Откр. 7:1-17,Пс. 134:1-21,Прит. 30:5-6
Наум 1:1-3:19,Откр. 8:1-13,Пс. 135:1-26,Прит. 30:7-9
Аввакум 1:1-3:19,Откр. 9:1-21,Пс. 136:1-9,Прит. 30:10
Софония 1:1-3:20,Откр. 10:1-11,Пс. 137:1-8,Прит. 30:11-14
Аггей 1:1-2:23,Откр. 11:1-19,Пс. 138:1-24,Прит. 30:15-16
Зах. 1:1-21,Откр. 12:1-17,Пс. 139:1-13,Прит. 30:17
Зах. 2:1-3:10,Откр. 13:1-13:18,Пс. 140:1-10,Прит. 30:18-20
Зах. 4:1-5:11,Откр. 14:1-20,Пс. 141:1-7,Прит. 30:21-23
Зах. 6:1-7:14,Откр. 15:1-8,Пс. 142:1-12,Прит. 30:24-28
Зах. 8:1-23,Откр. 16:1-21,Пс. 143:1-15,Прит. 30:29-31
Зах. 9:1-17,Откр. 17:1-18,Пс. 144:1-21,Прит. 30:32
Зах. 10:1-11:17,Откр. 18:1-24,Пс. 145:1-10,Прит. 30:33
Зах. 12:1-13:9,Откр. 19:1-21,Пс. 146:1-147:9,Прит. 31:1-7
Зах. 14:1-21,Откр. 20:1-15,Пс. 148:1-14,Прит. 31:8-9
Малахия 1:1-2:17,Откр. 21:1-27,Пс. 149:1-9,Прит. 31:10-24
Малахия 3:1-4:6,Откр. 22:1-21,Пс. 150:1-6,Прит. 31:25-31
