old,new,ps,pr
Числа 16:41-18:32,Марка 16:1-20,Пс. 54:1-24,Прит. 11:7
Числа 19:1-20:29,Луки 1:1-25,Пс. 55:1-14,Прит. 11:8
Числа 21:1-22:20,Луки 1:26-56,Пс. 56:1-12,Прит. 11:9-11
Числа 22:21-23:30,Луки 1:57-80,Пс. 57:1-12,Прит. 11:12-13
Числа 24:1-25:18,Луки 2:1-35,Пс. 58:1-18,Прит. 11:14
Числа 26:1-51,Луки 2:36-52,Пс. 59:1-14,Прит. 11:15
Числа 26:52-28:15,Луки 3:1-22,Пс. 60:1-9,Прит. 11:16-17
Числа 28:16-29:40,Луки 3:23-38,Пс. 61:1-13,Прит. 11:18-19
Числа 30:1-31:54,Луки 4:1-30,Пс. 62:1-12,Прит. 11:20-21
Числа 32:1-33:39,Луки 4:31-5:11,Пс. 63:1-11,Прит. 11:22
Числа 33:40-35:34,Луки 5:12-28,Пс. 64:1-14,Прит. 11:23
Числа 36:1-Втор. 1:46,Луки 5:29-6:11,Пс. 65:1-20,Прит. 11:24-26
Втор. 2:1-3:29,Луки 6:12-38,Пс. 66:1-8,Прит. 11:27
Втор. 4:1-49,Луки 6:39-7:10,Пс. 67:1-19,Прит. 11:28
Втор. 5:1-6:25,Луки 7:11-35,Пс. 68:20-36,Прит. 11:29-31
Втор. 7:1-8:20,Луки 7:36-8:3,Пс. 68:1-19,Прит. 12:1
Втор. 9:1-10:22,Луки 8:4-21,Пс. 68:20-37,Прит. 12:2-3
Втор. 11:1-12:32,Луки 8:22-39,Пс. 69:1-6,Прит. 12:4
Втор. 13:1-15:23,Луки 8:40-9:6,Пс. 70:1-24,Прит. 12:5-7
Втор. 16:1-17:20,Луки 9:7-27,Пс. 72:1-20,Прит. 12:8-9
Втор. 18:1-20:20,Луки 9:28-50,Пс. 72:1-28,Прит. 12:10
Втор. 21:1-22:30,Луки 9:51-10:12,Пс. 73:1-23,Прит. 12:11
Втор. 23:1-25:19,Луки 10:13-37,Пс. 74:1-11,Прит. 12:12-14
Втор. 26:1-27:26,Луки 10:38-11:13,Пс. 75:1-13,Прит. 12:15-17
Втор. 28:1-68,Луки 11:14-36,Пс. 76:1-21,Прит. 12:18
Втор. 29:1-30:20,Луки 11:37-12:7,Пс. 77:1-31,Прит. 12:19-20
Втор. 31:1-32:27,Луки 12:8-34,Пс. 77:32-55,Прит. 12:21-23
Втор. 32:28-52,Луки 12:35-59,Пс. 77:56-64,Прит. 12:24
Втор. 33:1-29,Луки 13:1-21,Пс. 77:65-72,Прит. 12:25
Втор. 34:1-Нав. 2:24,Луки 13:22-14:6,Пс. 78:1-13,Прит. 12:26
Нав. 3:1-4:24,Луки 14:7-35,Пс. 79:1-20,Прит. 12:27-28
Нав. 5:1-7:15,Луки 15:1-32,Пс. 80:1-17,Прит. 13:01
Нав. 7:16-9:2,Луки 16:1-18,Пс. 81:1-8,Прит. 13:2-3
Нав. 9:3-10:43,Луки 16:19-17:10,Пс. 82:1-19,Прит. 13:4
Нав. 11:1-12:24,Луки 17:11-37,Пс. 83:1-13,Прит. 13:5-6
Нав. 13:1-14:15,Луки 18:1-17,Пс. 84:1-14,Прит. 13:7-8
Нав. 15:1-63,Луки 18:18-43,Пс. 86:1-17,Прит. 13:9-10
Нав. 16:1-18:28,Луки 19:1-27,Пс. 86:1-7,Прит. 13:11
Нав. 19:1-20:9,Луки 19:28-48,Пс. 87:1-19,Прит. 13:12-14
